Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
forkassn3,de.hysky.skyblocker.skyblock.shortcut,ShortcutsConfigListWidget.AbstractShortcutEntry,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
forkassn3,de.hysky.skyblocker.skyblock.shortcut,Shortcuts,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: commands; commandArgs
forkassn3,de.hysky.skyblocker.skyblock.accessories.newyearcakes,NewYearCakesHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
forkassn3,de.hysky.skyblocker.skyblock.auction,AuctionBrowserScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UP_ARROW; DOWN_ARROW; RESET_BUTTON_SLOT; SEARCH_BUTTON_SLOT; BACK_BUTTON_SLOT; SORT_BUTTON_SLOT; RARITY_BUTTON_SLOT; AUCTION_TYPE_BUTTON_SLOT; PREV_PAGE_BUTTON; NEXT_PAGE_BUTTON
forkassn3,de.hysky.skyblocker.skyblock.auction,AuctionBrowserScreen,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
forkassn3,de.hysky.skyblocker.skyblock.auction,AuctionViewScreen,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BACK_BUTTON_SLOT
forkassn3,de.hysky.skyblocker.skyblock.crimson.dojo,DojoManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: inArena
forkassn3,de.hysky.skyblocker.skyblock.crimson.dojo,DojoManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
forkassn3,de.hysky.skyblocker.skyblock.garden,FarmingHudWidget,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FARMING_TOOLS; INSTANCE
forkassn3,de.hysky.skyblocker.skyblock.garden,FarmingHudWidget,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
forkassn3,de.hysky.skyblocker.skyblock.garden,FarmingHud,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NUMBER_FORMAT
forkassn3,de.hysky.skyblocker.skyblock.garden,FarmingHud,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
